# 1   2   3    4              5                6         7            8           9    
# Mu, T, <N>, <d>, <d_0s_rs_r+1> at r=n.n., r=n.n.n, r=3rd n.n., r=4th n.n., r=5th n.n.
  -0.95333E+01   0.12712E+01   0.32466E-02   0.20844E-08   0.20738E-16   0.10724E-18   0.77627E-18   0.23374E-18  -0.10354E-19
  -0.95333E+01   0.13771E+01   0.49787E-02   0.48184E-08   0.18512E-15   0.10504E-17   0.71269E-17   0.21290E-17  -0.93344E-19
  -0.95333E+01   0.14918E+01   0.74265E-02   0.10476E-07   0.13943E-14   0.93442E-17   0.55629E-16   0.16371E-16  -0.70498E-18
  -0.95333E+01   0.16161E+01   0.10791E-01   0.21546E-07   0.88044E-14   0.75437E-16   0.37206E-15   0.10717E-15  -0.45146E-17
  -0.95333E+01   0.17507E+01   0.15292E-01   0.42101E-07   0.45970E-13   0.55051E-15   0.21430E-14   0.60093E-15  -0.24798E-16
  -0.95333E+01   0.18965E+01   0.21161E-01   0.78436E-07   0.19566E-12   0.36025E-14   0.10644E-13   0.28971E-14  -0.11816E-15
  -0.95333E+01   0.20544E+01   0.28624E-01   0.13973E-06   0.67702E-12   0.20744E-13   0.45472E-13   0.12021E-13  -0.49400E-15
  -0.95333E+01   0.22255E+01   0.37889E-01   0.23866E-06   0.19359E-11   0.10091E-12   0.16599E-12   0.42883E-13  -0.18345E-14
  -0.95333E+01   0.24109E+01   0.49124E-01   0.39170E-06   0.47140E-11   0.38999E-12   0.51399E-12   0.13127E-12  -0.61408E-14
  -0.95333E+01   0.26117E+01   0.62445E-01   0.61911E-06   0.10094E-10   0.11491E-11   0.13453E-11   0.34467E-12  -0.18899E-13
  -0.95333E+01   0.28292E+01   0.77897E-01   0.94430E-06   0.19518E-10   0.26558E-11   0.29920E-11   0.77905E-12  -0.55186E-13
  -0.95333E+01   0.30649E+01   0.95450E-01   0.13926E-05   0.34746E-10   0.51835E-11   0.57352E-11   0.15290E-11  -0.16276E-12
  -0.95333E+01   0.33201E+01   0.11499E+00   0.19893E-05   0.57769E-10   0.91018E-11   0.96639E-11   0.26394E-11  -0.58379E-12
  -0.95333E+01   0.35966E+01   0.13633E+00   0.27577E-05   0.90662E-10   0.14909E-10   0.14602E-10   0.40668E-11   0.33626E-10
  -0.95333E+01   0.38962E+01   0.15920E+00   0.37163E-05   0.13546E-09   0.23186E-10   0.20129E-10   0.56743E-11   0.13277E-11
  -0.95333E+01   0.42207E+01   0.18330E+00   0.48770E-05   0.19399E-09   0.34522E-10   0.25657E-10   0.72617E-11   0.93293E-12
  -0.95333E+01   0.45722E+01   0.20827E+00   0.62435E-05   0.26781E-09   0.49426E-10   0.30559E-10   0.86160E-11   0.81532E-12
  -0.95333E+01   0.49530E+01   0.23377E+00   0.78105E-05   0.35795E-09   0.68228E-10   0.34293E-10   0.95625E-11   0.75910E-12
  -0.95333E+01   0.53656E+01   0.25943E+00   0.95638E-05   0.46476E-09   0.90995E-10   0.36500E-10   0.10000E-10   0.71958E-12
  -0.95333E+01   0.58124E+01   0.28493E+00   0.11482E-04   0.58768E-09   0.11747E-09   0.37058E-10   0.99133E-11   0.68176E-12
  -0.95333E+01   0.62965E+01   0.30997E+00   0.13538E-04   0.72504E-09   0.14707E-09   0.36067E-10   0.93615E-11   0.63987E-12
  -0.95333E+01   0.68210E+01   0.33432E+00   0.15700E-04   0.87402E-09   0.17892E-09   0.33797E-10   0.84540E-11   0.59267E-12
  -0.95333E+01   0.73891E+01   0.35776E+00   0.17939E-04   0.10296E-08   0.21191E-09   0.30612E-10   0.73209E-11   0.54329E-12
  -0.90667E+01   0.14661E+00  -0.51387E-22   0.25225E-53  -0.18842E-98   0.58209-102   0.44989-102   0.90249-104  -0.89250-107
  -0.90667E+01   0.15882E+00  -0.36724E-20   0.44804E-49  -0.32829E-91   0.14377E-94   0.11201E-94   0.23777E-96  -0.44363E-99
  -0.90667E+01   0.17204E+00  -0.20217E-18  -0.45056E-45  -0.15433E-84   0.93645E-88   0.73691E-88   0.16741E-89  -0.51556E-92
  -0.90667E+01   0.18637E+00  -0.88522E-17  -0.21181E-42  -0.21579E-78   0.17787E-81   0.14167E-81   0.34879E-83  -0.16299E-85
  -0.90667E+01   0.20000E+00  -0.21175E-15  -0.69148E-40  -0.22328E-73   0.23779E-76   0.19177E-76   0.51254E-78  -0.32799E-80
  -0.90667E+01   0.21871E+00  -0.10222E-13  -0.77164E-37  -0.15824E-67   0.22967E-70   0.18865E-70   0.56852E-72  -0.50955E-74
  -0.90667E+01   0.23693E+00  -0.32818E-12  -0.27830E-34  -0.97489E-63   0.18465E-65   0.15459E-65   0.52680E-67  -0.60483E-69
  -0.90667E+01   0.25666E+00  -0.23621E-10  -0.69027E-32  -0.24667E-58   0.60615E-61   0.51872E-61   0.20280E-62  -0.28442E-64
  -0.90667E+01   0.27804E+00   0.99048E-10  -0.11942E-29  -0.27369E-54   0.87153E-57   0.76512E-57   0.34789E-58  -0.57051E-60
  -0.90667E+01   0.30000E+00   0.39559E-09  -0.11674E-27  -0.94030E-51   0.38476E-53   0.34758E-53   0.18444E-54  -0.33872E-56
  -0.90667E+01   0.32628E+00   0.23147E-08  -0.13217E-25  -0.35789E-47   0.19580E-49   0.18376E-49   0.11677E-50  -0.23527E-52
  -0.90667E+01   0.35345E+00   0.11937E-07  -0.88687E-24  -0.46474E-44   0.34400E-46   0.33764E-46   0.25622E-47  -0.55114E-49
  -0.90667E+01   0.38289E+00   0.54571E-07  -0.45559E-22  -0.31935E-41   0.33482E-43   0.34739E-43   0.31515E-44  -0.71390E-46
  -0.90667E+01   0.40000E+00   0.11757E-06  -0.35327E-21  -0.86969E-40   0.11395E-41   0.12253E-41   0.12241E-42  -0.28433E-44
  -0.90667E+01   0.44933E+00   0.72366E-06  -0.59651E-19  -0.21231E-36   0.65167E-38   0.78792E-38   0.10060E-38  -0.24917E-40
  -0.90667E+01   0.50000E+00   0.29697E-05  -0.46685E-17   0.72094E-35   0.78563E-35   0.10924E-34   0.17085E-35  -0.45096E-37
  -0.90667E+01   0.52729E+00   0.55631E-05  -0.36948E-16   0.32183E-32   0.20317E-33   0.30656E-33   0.52487E-34  -0.14347E-35
  -0.90667E+01   0.57121E+00   0.13275E-04  -0.76627E-15   0.72642E-30   0.19783E-31   0.34274E-31   0.66290E-32  -0.19186E-33
