T,E,a,b,c
3.541,-1624.82114939,99.8373747304,595.426852956,1613.59608626
3.557,-1614.83520379,96.8027153406,582.805631537,1501.61785629
3.573,-1609.63682626,96.4050309501,597.703967942,1522.85542927
3.589,-1597.27251832,92.9295314605,578.593408365,1408.66882611
3.605,-1589.52127389,95.7750197264,578.543180462,1516.11772207
3.621,-1581.08244678,93.8709479123,553.138099666,1344.68040217
3.637,-1573.11666783,95.2508695519,558.664912645,1458.16407143
3.653,-1561.13847775,92.0704628435,544.058817375,1324.74985116
3.669,-1551.09200467,88.3503643296,540.921841593,1231.02603477
3.685,-1545.56445904,90.7378478248,536.529097215,1287.45855451
3.701,-1534.11474956,89.8542226653,519.304778519,1191.87997583
3.717,-1527.74508008,89.4003670144,518.039713992,1189.31179852
3.733,-1519.6338262,88.2574100955,517.934139298,1186.56618413
3.749,-1510.23823333,90.7317001772,516.004367492,1268.47827995
3.765,-1503.21063007,89.4649778902,523.568096136,1217.7073463
3.781,-1494.99072224,88.3127747,497.299482147,1135.62880293
3.797,-1486.6458086,89.5477165729,490.378431252,1180.36392873
3.813,-1479.58748214,86.7645130391,494.423510059,1112.78716159
3.829,-1474.46177008,86.7860340617,486.927200542,1157.36218066
3.845,-1464.34909361,85.8372128744,480.744465784,1131.71039931
3.861,-1456.48279383,87.4305069804,471.844003694,1143.87311864
3.877,-1449.95821914,87.7104156985,470.39244063,1119.228888
3.893,-1441.77631285,85.1903946118,479.057311401,1099.13632692
3.909,-1433.21941816,85.0772079951,437.546333697,1041.19743298
3.925,-1424.56230793,82.4831526731,442.555629793,987.687460389
3.941,-1419.28207467,84.1069766332,443.421226698,1009.77310231
3.957,-1410.84360097,84.3673670805,440.822475119,1023.34384128
3.973,-1404.43799332,81.2958821571,438.820602166,967.815118347
3.989,-1396.97540141,80.797247373,429.502697652,935.424178013
4.005,-1392.2991187,83.0557429084,441.051924714,1013.25766114
4.021,-1385.76232846,79.3795025677,428.480021121,884.458383337
4.037,-1377.12113695,81.6027782654,412.580882577,948.595093118
4.053,-1370.81721864,78.34320465,413.031210966,874.853547049
4.069,-1362.6303558,79.6616527577,407.24515875,914.075197788
4.085,-1357.81828148,80.6631244376,408.533596189,915.685279599
4.101,-1351.54510813,80.5055574716,392.563950742,886.581082386
4.117,-1345.07425312,78.3291792429,392.146524479,846.65208963
4.133,-1339.07971884,80.077784379,394.928133097,916.385708209
4.149,-1332.01056499,77.5254298544,389.564986298,827.025978518
4.165,-1325.54281949,78.3543956893,391.650699639,846.9939956
4.181,-1320.9128994,79.530501278,377.846874307,901.983106307
4.197,-1309.98466176,77.8162035318,375.792756145,817.267047442
4.213,-1307.62060444,76.546488029,371.933806517,813.169275421
4.229,-1300.6514525,76.2013003391,371.195473724,811.880885739
4.245,-1295.55220624,77.5457846051,363.383662695,796.885459402
4.261,-1288.82645678,76.2800134221,357.875471655,785.310247236
4.277,-1284.85557243,76.9697866259,363.191039669,780.725348116
4.293,-1278.20002904,75.765230927,353.572996255,755.384135968
4.309,-1270.38317553,76.9865956489,353.687847773,802.604379836
4.325,-1267.43747562,74.8552420573,353.224074758,742.342800287
4.341,-1259.9494496,75.9653826582,349.940364599,771.67210802
4.357,-1255.56644918,75.7461166882,341.444844026,739.611552565
4.373,-1250.17979186,75.9287715886,340.719883195,775.863317454
4.389,-1246.86778119,73.9298731565,337.629192779,731.216933482
4.405,-1240.90511175,74.7157323062,334.541669697,720.977082176
4.421,-1234.33124478,72.8798218317,331.201301831,692.547026929
4.437,-1228.94509882,74.2940854852,332.525428647,722.239711334
4.453,-1226.89886061,73.5243443504,321.516428512,684.209744878
4.469,-1218.88639214,74.3107149881,322.778849455,703.116211766
4.485,-1214.61212873,74.2230965617,315.815295671,677.785430295
4.501,-1209.50228547,74.3547171613,314.953429279,682.570651777
4.517,-1204.29745956,71.1571436699,313.061355506,662.22644475
4.533,-1198.65341897,74.6552274781,314.343300815,694.464140551
4.549,-1193.86358977,72.2311548012,314.087576772,657.178548744
4.565,-1189.66728335,72.5120532792,308.513050404,645.992213706
4.581,-1184.03563507,70.9387416999,297.083507335,637.232705548
4.597,-1179.98177677,70.0927420741,307.127540879,615.057529269
4.613,-1175.04141574,72.7528183198,300.904538858,665.499601308
4.629,-1167.65703452,70.3373055144,287.649148298,610.010167243
4.645,-1165.87829658,68.3920415749,298.546451238,587.768631393
4.661,-1161.9450665,71.6666647893,298.303578965,622.107410943
